campaignid,startdate,enddate,channel,impressions,clicks,leads,conversions,cost_usd,revenue_usd,roi,campaign_duration,profit,roas,profit_margin,ctr,lead_conversion_rate,customer_conversion_rate,cpc,cpl,cpa,start_year,start_month,start_month_name,quarter,weekday
CAMP01922,2025-04-27,2025-05-09,Social,261971,23553,6904,2345,4186.4,9394.34,1.24,12,5207.9400000000005,2.24,55.44,8.99,29.31,33.97,0.18,0.61,1.79,2025,4,April,2,Sunday
CAMP01923,2025-12-20,2025-12-25,Search,290570,25500,7693,3605,1431.0,2153.79,0.51,5,722.79,1.51,33.56,8.78,30.17,46.86,0.06,0.19,0.4,2025,12,December,4,Saturday
CAMP01924,2025-08-16,2025-08-22,Email,260813,10566,1807,736,4035.89,7705.03,0.91,6,3669.14,1.91,47.62,4.05,17.1,40.73,0.38,2.23,5.48,2025,8,August,3,Saturday
CAMP01925,2025-03-07,2025-03-18,Search,115128,2172,1002,415,553.19,736.67,0.33,11,183.4799999999999,1.33,24.91,1.89,46.13,41.42,0.25,0.55,1.33,2025,3,March,1,Friday
CAMP01926,2025-12-01,2025-12-13,Influencer,202405,5276,1265,408,670.39,1790.66,1.67,12,1120.27,2.67,62.56,2.61,23.98,32.25,0.13,0.53,1.64,2025,12,December,4,Monday
CAMP01927,2025-09-19,2025-09-24,Search,45079,1934,261,116,2062.86,2461.86,0.19,5,399.0,1.19,16.21,4.29,13.5,44.44,1.07,7.9,17.78,2025,9,September,3,Friday
CAMP01928,2025-10-22,2025-10-29,Display,156476,15072,2438,881,2093.94,2327.8,0.11,7,233.86000000000013,1.11,10.05,9.63,16.18,36.14,0.14,0.86,2.38,2025,10,October,4,Wednesday
CAMP01929,2025-08-31,2025-09-11,Display,129805,4504,1375,698,2630.75,5442.48,1.07,11,2811.7299999999996,2.07,51.66,3.47,30.53,50.76,0.58,1.91,3.77,2025,8,August,3,Sunday
CAMP01930,2025-07-05,2025-07-18,Social,140026,13080,5920,2437,216.07,467.78,1.16,13,251.70999999999998,2.16,53.81,9.34,45.26,41.17,0.02,0.04,0.09,2025,7,July,3,Saturday
CAMP01931,2025-09-03,2025-09-15,Social,101411,2669,937,295,673.99,1911.79,1.84,12,1237.8,2.84,64.75,2.63,35.11,31.48,0.25,0.72,2.28,2025,9,September,3,Wednesday
CAMP01932,2025-05-05,2025-05-17,Search,243356,23674,4401,1140,150.35,211.48,0.41,12,61.129999999999995,1.41,28.91,9.73,18.59,25.9,0.01,0.03,0.13,2025,5,May,2,Monday
CAMP01933,2025-09-25,2025-10-08,Email,256399,9339,2042,980,4777.16,12210.45,1.56,13,7433.290000000001,2.56,60.88,3.64,21.87,47.99,0.51,2.34,4.87,2025,9,September,3,Thursday
CAMP01934,2025-05-11,2025-05-25,Email,23440,1569,769,267,1635.41,3742.04,1.29,14,2106.63,2.29,56.3,6.69,49.01,34.72,1.04,2.13,6.13,2025,5,May,2,Sunday
CAMP01935,2025-08-25,2025-09-01,Influencer,63407,1031,124,28,3471.54,8621.02,1.48,7,5149.4800000000005,2.48,59.73,1.63,12.03,22.58,3.37,28.0,123.98,2025,8,August,3,Monday
CAMP01936,2025-01-18,2025-01-30,Email,217436,8038,4000,2263,3081.36,4051.69,0.31,12,970.3299999999999,1.31,23.95,3.7,49.76,56.58,0.38,0.77,1.36,2025,1,January,1,Saturday
CAMP01937,2025-02-09,2025-02-14,Social,298042,8632,3990,1415,3651.07,6911.17,0.89,5,3260.1,1.89,47.17,2.9,46.22,35.46,0.42,0.92,2.58,2025,2,February,1,Sunday
CAMP01938,2025-01-21,2025-02-02,Email,182792,1884,699,348,4425.98,7577.99,0.71,12,3152.01,1.71,41.59,1.03,37.1,49.79,2.35,6.33,12.72,2025,1,January,1,Tuesday
CAMP01939,2025-08-13,2025-08-24,Influencer,241478,5821,2778,1065,1242.42,2980.7,1.4,11,1738.2799999999997,2.4,58.32,2.41,47.72,38.34,0.21,0.45,1.17,2025,8,August,3,Wednesday
CAMP01940,2025-12-21,2026-01-02,Display,50428,3196,514,285,2186.18,4781.33,1.19,12,2595.15,2.19,54.28,6.34,16.08,55.45,0.68,4.25,7.67,2025,12,December,4,Sunday
CAMP01941,2025-10-09,2025-10-14,Email,282571,12741,6077,1286,1709.38,5017.15,1.94,5,3307.7699999999995,2.94,65.93,4.51,47.7,21.16,0.13,0.28,1.33,2025,10,October,4,Thursday
CAMP01942,2025-01-08,2025-01-18,Email,158241,11873,2196,667,504.08,643.95,0.28,10,139.87000000000006,1.28,21.72,7.5,18.5,30.37,0.04,0.23,0.76,2025,1,January,1,Wednesday
CAMP01943,2025-04-10,2025-04-21,Social,50419,3549,1130,472,256.44,499.33,0.95,11,242.89,1.95,48.64,7.04,31.84,41.77,0.07,0.23,0.54,2025,4,April,2,Thursday
CAMP01944,2025-08-28,2025-09-12,Search,249488,20442,6040,1988,3847.47,9186.6,1.39,15,5339.130000000001,2.39,58.12,8.19,29.55,32.91,0.19,0.64,1.94,2025,8,August,3,Thursday
CAMP01945,2025-03-28,2025-04-06,Display,203559,17919,5464,2716,733.21,1274.0,0.74,9,540.79,1.74,42.45,8.8,30.49,49.71,0.04,0.13,0.27,2025,3,March,1,Friday
CAMP01946,2025-10-25,2025-11-03,Search,103632,8682,1796,853,175.28,498.91,1.85,9,323.63,2.85,64.87,8.38,20.69,47.49,0.02,0.1,0.21,2025,10,October,4,Saturday
CAMP01947,2025-01-14,2025-01-25,Influencer,276129,13896,5728,1204,2248.21,6081.67,1.71,11,3833.46,2.71,63.03,5.03,41.22,21.02,0.16,0.39,1.87,2025,1,January,1,Tuesday
CAMP01948,2025-11-30,2025-12-15,Influencer,168713,6374,2530,1113,1679.11,4610.59,1.75,15,2931.4800000000005,2.75,63.58,3.78,39.69,43.99,0.26,0.66,1.51,2025,11,November,4,Sunday
CAMP01949,2025-01-02,2025-01-09,Search,158969,8776,4226,2258,423.93,940.31,1.22,7,516.3799999999999,2.22,54.92,5.52,48.15,53.43,0.05,0.1,0.19,2025,1,January,1,Thursday
CAMP01950,2025-10-20,2025-10-30,Social,181724,10569,3200,1043,352.8,685.62,0.94,10,332.82,1.94,48.54,5.82,30.28,32.59,0.03,0.11,0.34,2025,10,October,4,Monday
CAMP01951,2025-11-21,2025-12-02,Social,142045,5424,1731,442,4574.47,7940.42,0.74,11,3365.95,1.74,42.39,3.82,31.91,25.53,0.84,2.64,10.35,2025,11,November,4,Friday
CAMP01952,2025-02-10,2025-02-15,Social,107776,6315,2913,1442,4704.4,5830.59,0.24,5,1126.1900000000005,1.24,19.32,5.86,46.13,49.5,0.74,1.61,3.26,2025,2,February,1,Monday
CAMP01953,2025-11-14,2025-11-20,Display,61718,1204,563,315,2463.22,7134.65,1.9,6,4671.43,2.9,65.48,1.95,46.76,55.95,2.05,4.38,7.82,2025,11,November,4,Friday
CAMP01954,2025-11-12,2025-11-20,Influencer,106578,3281,1180,546,4256.6,6500.9,0.53,8,2244.2999999999993,1.53,34.52,3.08,35.96,46.27,1.3,3.61,7.8,2025,11,November,4,Wednesday
CAMP01955,2025-04-21,2025-05-03,Influencer,73809,5693,2437,1312,4020.46,10469.91,1.6,12,6449.45,2.6,61.6,7.71,42.81,53.84,0.71,1.65,3.06,2025,4,April,2,Monday
CAMP01956,2025-01-14,2025-01-29,Influencer,289771,7665,2315,1387,2938.83,3008.77,0.02,15,69.94000000000005,1.02,2.32,2.65,30.2,59.91,0.38,1.27,2.12,2025,1,January,1,Tuesday
CAMP01957,2025-08-19,2025-09-02,Display,57621,1297,331,132,3778.93,6662.24,0.76,14,2883.31,1.76,43.28,2.25,25.52,39.88,2.91,11.42,28.63,2025,8,August,3,Tuesday
CAMP01958,2025-03-25,2025-04-04,Influencer,191156,6855,3054,1753,4659.65,9981.96,1.14,10,5322.3099999999995,2.14,53.32,3.59,44.55,57.4,0.68,1.53,2.66,2025,3,March,1,Tuesday
CAMP01959,2025-05-10,2025-05-15,Search,20151,874,359,121,2874.9,4682.52,0.63,5,1807.6200000000003,1.63,38.6,4.34,41.08,33.7,3.29,8.01,23.76,2025,5,May,2,Saturday
CAMP01960,2025-08-19,2025-09-02,Email,80691,3192,628,312,2607.18,3618.22,0.39,14,1011.04,1.39,27.94,3.96,19.67,49.68,0.82,4.15,8.36,2025,8,August,3,Tuesday
CAMP01961,2025-11-22,2025-12-01,Display,75172,3286,391,219,117.36,134.13,0.14,9,16.769999999999996,1.14,12.5,4.37,11.9,56.01,0.04,0.3,0.54,2025,11,November,4,Saturday
CAMP01962,2025-05-25,2025-06-05,Email,239722,5415,1766,721,2756.5,8209.46,1.98,11,5452.959999999999,2.98,66.42,2.26,32.61,40.83,0.51,1.56,3.82,2025,5,May,2,Sunday
CAMP01963,2025-12-11,2025-12-21,Search,195291,4859,2121,955,4105.75,11384.5,1.77,10,7278.75,2.77,63.94,2.49,43.65,45.03,0.84,1.94,4.3,2025,12,December,4,Thursday
CAMP01964,2025-01-28,2025-02-10,Social,251996,7868,1564,919,3834.31,6229.62,0.62,13,2395.31,1.62,38.45,3.12,19.88,58.76,0.49,2.45,4.17,2025,1,January,1,Tuesday
CAMP01965,2025-03-07,2025-03-19,Social,102185,4718,1920,576,3264.4,3367.51,0.03,12,103.11000000000013,1.03,3.06,4.62,40.7,30.0,0.69,1.7,5.67,2025,3,March,1,Friday
CAMP01966,2025-06-12,2025-06-20,Social,114242,4596,1220,417,220.47,458.83,1.08,8,238.35999999999999,2.08,51.95,4.02,26.54,34.18,0.05,0.18,0.53,2025,6,June,2,Thursday
CAMP01967,2025-08-17,2025-09-01,Display,42236,3430,803,408,4634.29,7614.04,0.64,15,2979.75,1.64,39.13,8.12,23.41,50.81,1.35,5.77,11.36,2025,8,August,3,Sunday
CAMP01968,2025-09-18,2025-09-27,Social,203954,11685,1976,664,2202.62,2712.54,0.23,9,509.9200000000001,1.23,18.8,5.73,16.91,33.6,0.19,1.11,3.32,2025,9,September,3,Thursday
CAMP01969,2025-06-13,2025-06-24,Display,268186,16577,7852,3143,2900.52,7485.12,1.58,11,4584.6,2.58,61.25,6.18,47.37,40.03,0.17,0.37,0.92,2025,6,June,2,Friday
CAMP01970,2025-10-28,2025-11-09,Display,189990,11485,2185,481,2048.87,3434.62,0.68,12,1385.75,1.68,40.35,6.05,19.02,22.01,0.18,0.94,4.26,2025,10,October,4,Tuesday
CAMP01971,2025-10-30,2025-11-08,Email,156562,7184,1520,647,1809.51,5330.28,1.95,9,3520.7699999999995,2.95,66.05,4.59,21.16,42.57,0.25,1.19,2.8,2025,10,October,4,Thursday
CAMP01972,2025-10-14,2025-10-27,Social,262648,25803,6001,2704,2601.91,6276.76,1.41,13,3674.8500000000004,2.41,58.55,9.82,23.26,45.06,0.1,0.43,0.96,2025,10,October,4,Tuesday
CAMP01973,2025-01-10,2025-01-24,Influencer,120148,1605,343,79,2524.02,6762.96,1.68,14,4238.9400000000005,2.68,62.68,1.34,21.37,23.03,1.57,7.36,31.95,2025,1,January,1,Friday
CAMP01974,2025-07-14,2025-07-22,Social,217902,6411,1058,314,1846.43,4142.58,1.24,8,2296.1499999999996,2.24,55.43,2.94,16.5,29.68,0.29,1.75,5.88,2025,7,July,3,Monday
CAMP01975,2025-04-28,2025-05-06,Social,138374,4928,1191,444,4038.89,8576.21,1.12,8,4537.32,2.12,52.91,3.56,24.17,37.28,0.82,3.39,9.1,2025,4,April,2,Monday
CAMP01976,2025-09-27,2025-10-09,Social,47311,4225,1219,624,348.02,645.95,0.86,12,297.93000000000006,1.86,46.12,8.93,28.85,51.19,0.08,0.29,0.56,2025,9,September,3,Saturday
CAMP01977,2025-03-21,2025-03-26,Influencer,126834,11757,3770,786,673.41,785.35,0.17,5,111.94000000000005,1.17,14.25,9.27,32.07,20.85,0.06,0.18,0.86,2025,3,March,1,Friday
CAMP01978,2025-04-03,2025-04-15,Influencer,22171,1910,310,103,504.44,1248.39,1.47,12,743.95,2.47,59.59,8.61,16.23,33.23,0.26,1.63,4.9,2025,4,April,2,Thursday
CAMP01979,2025-09-23,2025-10-02,Display,296471,14089,5801,1171,2868.47,4818.12,0.68,9,1949.65,1.68,40.46,4.75,41.17,20.19,0.2,0.49,2.45,2025,9,September,3,Tuesday
CAMP01980,2025-11-28,2025-12-13,Influencer,87473,8075,1813,740,2121.33,2955.79,0.39,15,834.46,1.39,28.23,9.23,22.45,40.82,0.26,1.17,2.87,2025,11,November,4,Friday
CAMP01981,2025-12-16,2025-12-21,Display,69223,1305,609,243,2315.02,2844.76,0.23,5,529.7400000000002,1.23,18.62,1.89,46.67,39.9,1.77,3.8,9.53,2025,12,December,4,Tuesday
CAMP01982,2025-12-27,2026-01-04,Email,242401,16657,3861,1938,2926.06,3384.54,0.16,8,458.48,1.16,13.55,6.87,23.18,50.19,0.18,0.76,1.51,2025,12,December,4,Saturday
CAMP01983,2025-09-14,2025-09-20,Display,215425,20325,9047,1823,1687.44,3291.92,0.95,6,1604.48,1.95,48.74,9.43,44.51,20.15,0.08,0.19,0.93,2025,9,September,3,Sunday
CAMP01984,2025-05-13,2025-05-21,Social,80315,6259,1508,759,997.32,2666.8,1.67,8,1669.48,2.67,62.6,7.79,24.09,50.33,0.16,0.66,1.31,2025,5,May,2,Tuesday
CAMP01985,2025-10-03,2025-10-15,Search,109755,3842,1161,646,1603.48,2016.26,0.26,12,412.78,1.26,20.47,3.5,30.22,55.64,0.42,1.38,2.48,2025,10,October,4,Friday
CAMP01986,2025-09-21,2025-09-30,Search,39281,2929,729,238,4970.54,10087.57,1.03,9,5117.03,2.03,50.73,7.46,24.89,32.65,1.7,6.82,20.88,2025,9,September,3,Sunday
CAMP01987,2025-06-20,2025-06-25,Social,182176,6654,1695,565,4768.18,8383.48,0.76,5,3615.2999999999993,1.76,43.12,3.65,25.47,33.33,0.72,2.81,8.44,2025,6,June,2,Friday
CAMP01988,2025-01-01,2025-01-12,Display,26735,535,185,37,4787.51,9957.23,1.08,11,5169.719999999999,2.08,51.92,2.0,34.58,20.0,8.95,25.88,129.39,2025,1,January,1,Wednesday
CAMP01989,2025-11-09,2025-11-14,Social,98173,7318,2760,1025,235.39,262.71,0.12,5,27.319999999999993,1.12,10.4,7.45,37.72,37.14,0.03,0.09,0.23,2025,11,November,4,Sunday
CAMP01990,2025-03-05,2025-03-18,Influencer,143077,3738,1675,745,538.31,1114.45,1.07,13,576.1400000000001,2.07,51.7,2.61,44.81,44.48,0.14,0.32,0.72,2025,3,March,1,Wednesday
CAMP01991,2025-10-11,2025-10-18,Display,297042,5939,1945,484,323.98,680.34,1.1,7,356.36,2.1,52.38,2.0,32.75,24.88,0.05,0.17,0.67,2025,10,October,4,Saturday
CAMP01992,2025-05-01,2025-05-08,Social,107742,6427,1200,555,4095.81,11223.2,1.74,7,7127.390000000001,2.74,63.51,5.97,18.67,46.25,0.64,3.41,7.38,2025,5,May,2,Thursday
CAMP01993,2025-04-17,2025-04-27,Influencer,116184,7651,3793,1313,4957.71,6935.89,0.4,10,1978.1800000000003,1.4,28.52,6.59,49.58,34.62,0.65,1.31,3.78,2025,4,April,2,Thursday
CAMP01994,2025-06-24,2025-07-08,Influencer,244552,3569,1333,625,2760.64,7259.05,1.63,14,4498.41,2.63,61.97,1.46,37.35,46.89,0.77,2.07,4.42,2025,6,June,2,Tuesday
CAMP01995,2025-07-23,2025-08-02,Display,250735,2608,651,195,3534.07,8845.2,1.5,10,5311.130000000001,2.5,60.05,1.04,24.96,29.95,1.36,5.43,18.12,2025,7,July,3,Wednesday
CAMP01996,2025-06-14,2025-06-29,Email,150484,13451,6554,3341,1825.89,5165.3,1.83,15,3339.41,2.83,64.65,8.94,48.73,50.98,0.14,0.28,0.55,2025,6,June,2,Saturday
CAMP01997,2025-11-01,2025-11-16,Email,296522,6040,2919,1224,3850.47,10880.91,1.83,15,7030.4400000000005,2.83,64.61,2.04,48.33,41.93,0.64,1.32,3.15,2025,11,November,4,Saturday
CAMP01998,2025-04-30,2025-05-10,Influencer,124849,7809,1029,425,3314.81,8394.03,1.53,10,5079.220000000001,2.53,60.51,6.25,13.18,41.3,0.42,3.22,7.8,2025,4,April,2,Wednesday
CAMP01999,2025-02-13,2025-02-18,Email,98638,9451,1020,403,4024.71,11472.47,1.85,5,7447.759999999999,2.85,64.92,9.58,10.79,39.51,0.43,3.95,9.99,2025,2,February,1,Thursday
CAMP02000,2025-11-08,2025-11-17,Influencer,260170,14588,1718,922,2550.12,3870.85,0.52,9,1320.73,1.52,34.12,5.61,11.78,53.67,0.17,1.48,2.77,2025,11,November,4,Saturday
CAMP02001,2025-06-05,2025-06-15,Email,167381,3779,1413,595,1050.69,1377.73,0.31,10,327.03999999999996,1.31,23.74,2.26,37.39,42.11,0.28,0.74,1.77,2025,6,June,2,Thursday
CAMP02002,2025-07-26,2025-08-07,Influencer,138507,6290,2417,637,2431.04,3794.23,0.56,12,1363.19,1.56,35.93,4.54,38.43,26.35,0.39,1.01,3.82,2025,7,July,3,Saturday
CAMP02003,2025-04-18,2025-04-23,Influencer,114470,7573,2950,1328,1629.25,4365.97,1.68,5,2736.7200000000003,2.68,62.68,6.62,38.95,45.02,0.22,0.55,1.23,2025,4,April,2,Friday
CAMP02004,2025-09-08,2025-09-17,Influencer,265236,20862,7345,2979,3501.12,5696.49,0.63,9,2195.37,1.63,38.54,7.87,35.21,40.56,0.17,0.48,1.18,2025,9,September,3,Monday
CAMP02005,2025-11-30,2025-12-07,Influencer,237474,15346,3287,748,770.56,2032.2,1.64,7,1261.64,2.64,62.08,6.46,21.42,22.76,0.05,0.23,1.03,2025,11,November,4,Sunday
CAMP02006,2025-05-10,2025-05-16,Search,139458,1825,304,131,1726.36,3010.68,0.74,6,1284.32,1.74,42.66,1.31,16.66,43.09,0.95,5.68,13.18,2025,5,May,2,Saturday
CAMP02007,2025-10-20,2025-11-04,Email,207048,4737,2231,517,132.23,343.67,1.6,15,211.44000000000003,2.6,61.52,2.29,47.1,23.17,0.03,0.06,0.26,2025,10,October,4,Monday
CAMP02008,2025-01-20,2025-02-01,Influencer,50503,2194,1020,499,4096.07,11036.24,1.69,12,6940.17,2.69,62.89,4.34,46.49,48.92,1.87,4.02,8.21,2025,1,January,1,Monday
CAMP02009,2025-10-09,2025-10-20,Social,113312,8330,1640,757,2092.47,4929.33,1.36,11,2836.86,2.36,57.55,7.35,19.69,46.16,0.25,1.28,2.76,2025,10,October,4,Thursday
CAMP02010,2025-10-12,2025-10-26,Display,121465,7602,1270,504,3903.32,11550.53,1.96,14,7647.210000000001,2.96,66.21,6.26,16.71,39.69,0.51,3.07,7.74,2025,10,October,4,Sunday
CAMP02011,2025-01-01,2025-01-12,Social,77939,1092,273,136,578.23,1422.82,1.46,11,844.5899999999999,2.46,59.36,1.4,25.0,49.82,0.53,2.12,4.25,2025,1,January,1,Wednesday
CAMP02012,2025-04-29,2025-05-08,Social,179536,14671,1751,546,1049.6,1564.19,0.49,9,514.5900000000001,1.49,32.9,8.17,11.94,31.18,0.07,0.6,1.92,2025,4,April,2,Tuesday
CAMP02013,2025-02-04,2025-02-17,Search,87758,5656,932,352,4267.29,12668.83,1.97,13,8401.54,2.97,66.32,6.44,16.48,37.77,0.75,4.58,12.12,2025,2,February,1,Tuesday
CAMP02014,2025-07-17,2025-07-26,Email,163349,14675,3699,762,3017.75,7144.9,1.37,9,4127.15,2.37,57.76,8.98,25.21,20.6,0.21,0.82,3.96,2025,7,July,3,Thursday
CAMP02015,2025-09-02,2025-09-08,Search,59012,2808,548,326,128.91,241.25,0.87,6,112.34,1.87,46.57,4.76,19.52,59.49,0.05,0.24,0.4,2025,9,September,3,Tuesday
CAMP02016,2025-02-28,2025-03-07,Email,139210,7533,2973,661,4535.13,8997.05,0.98,7,4461.919999999999,1.98,49.59,5.41,39.47,22.23,0.6,1.53,6.86,2025,2,February,1,Friday
CAMP02017,2025-11-21,2025-11-29,Influencer,262638,12212,5641,1363,4919.14,12456.47,1.53,8,7537.329999999999,2.53,60.51,4.65,46.19,24.16,0.4,0.87,3.61,2025,11,November,4,Friday
CAMP02018,2025-06-10,2025-06-19,Search,204770,15362,7122,2834,3339.81,8371.15,1.51,9,5031.34,2.51,60.1,7.5,46.36,39.79,0.22,0.47,1.18,2025,6,June,2,Tuesday
CAMP02019,2025-06-28,2025-07-05,Display,7752,602,205,71,3666.34,9833.9,1.68,7,6167.5599999999995,2.68,62.72,7.77,34.05,34.63,6.09,17.88,51.64,2025,6,June,2,Saturday
CAMP02020,2025-07-25,2025-08-05,Email,30765,2310,881,363,754.64,1117.95,0.48,11,363.31000000000006,1.48,32.5,7.51,38.14,41.2,0.33,0.86,2.08,2025,7,July,3,Friday
CAMP02021,2025-01-12,2025-01-21,Search,116193,4211,1253,669,3854.62,11163.48,1.9,9,7308.86,2.9,65.47,3.62,29.76,53.39,0.92,3.08,5.76,2025,1,January,1,Sunday
CAMP02022,2025-10-03,2025-10-12,Display,5837,392,62,16,585.07,891.07,0.52,9,306.0,1.52,34.34,6.72,15.82,25.81,1.49,9.44,36.57,2025,10,October,4,Friday
CAMP02023,2025-06-30,2025-07-10,Social,99010,4006,1418,646,4459.77,8745.46,0.96,10,4285.689999999999,1.96,49.0,4.05,35.4,45.56,1.11,3.15,6.9,2025,6,June,2,Monday
CAMP02024,2025-08-30,2025-09-10,Influencer,132977,11313,2714,562,2573.55,3661.51,0.42,11,1087.96,1.42,29.71,8.51,23.99,20.71,0.23,0.95,4.58,2025,8,August,3,Saturday
CAMP02025,2025-08-04,2025-08-18,Influencer,248762,3721,380,196,791.77,1479.48,0.87,14,687.71,1.87,46.48,1.5,10.21,51.58,0.21,2.08,4.04,2025,8,August,3,Monday
CAMP02026,2025-09-08,2025-09-22,Social,61997,830,273,143,534.69,1229.67,1.3,14,694.98,2.3,56.52,1.34,32.89,52.38,0.64,1.96,3.74,2025,9,September,3,Monday
CAMP02027,2025-10-26,2025-11-07,Search,171573,3286,589,207,2256.56,4476.31,0.98,12,2219.7500000000005,1.98,49.59,1.92,17.92,35.14,0.69,3.83,10.9,2025,10,October,4,Sunday
CAMP02028,2025-05-06,2025-05-19,Social,248977,7024,3193,859,126.16,188.87,0.5,13,62.71000000000001,1.5,33.2,2.82,45.46,26.9,0.02,0.04,0.15,2025,5,May,2,Tuesday
CAMP02029,2025-08-05,2025-08-20,Display,108510,1452,687,360,4810.01,8533.17,0.77,15,3723.16,1.77,43.63,1.34,47.31,52.4,3.31,7.0,13.36,2025,8,August,3,Tuesday
CAMP02030,2025-11-02,2025-11-10,Email,204261,3359,553,311,936.35,2049.64,1.19,8,1113.29,2.19,54.32,1.64,16.46,56.24,0.28,1.69,3.01,2025,11,November,4,Sunday
CAMP02031,2025-10-12,2025-10-21,Search,126907,4764,532,122,2155.64,6026.14,1.8,9,3870.5000000000005,2.8,64.23,3.75,11.17,22.93,0.45,4.05,17.67,2025,10,October,4,Sunday
CAMP02032,2025-07-04,2025-07-13,Email,65594,1245,126,54,3072.69,5676.57,0.85,9,2603.8799999999997,1.85,45.87,1.9,10.12,42.86,2.47,24.39,56.9,2025,7,July,3,Friday
CAMP02033,2025-02-08,2025-02-20,Social,90269,7418,3450,1984,3406.6,7323.28,1.15,12,3916.68,2.15,53.48,8.22,46.51,57.51,0.46,0.99,1.72,2025,2,February,1,Saturday
CAMP02034,2025-08-11,2025-08-24,Influencer,42448,630,101,46,2867.57,8091.43,1.82,13,5223.860000000001,2.82,64.56,1.48,16.03,45.54,4.55,28.39,62.34,2025,8,August,3,Monday
CAMP02035,2025-07-03,2025-07-14,Email,220378,20211,5540,2925,975.09,2615.31,1.68,11,1640.2199999999998,2.68,62.72,9.17,27.41,52.8,0.05,0.18,0.33,2025,7,July,3,Thursday
CAMP02036,2025-06-27,2025-07-06,Email,174031,15380,1889,551,2411.82,3305.87,0.37,9,894.0499999999997,1.37,27.04,8.84,12.28,29.17,0.16,1.28,4.38,2025,6,June,2,Friday
CAMP02037,2025-10-21,2025-10-28,Influencer,83340,2396,597,143,1680.72,2896.7,0.72,7,1215.9799999999998,1.72,41.98,2.87,24.92,23.95,0.7,2.82,11.75,2025,10,October,4,Tuesday
CAMP02038,2025-12-06,2025-12-11,Email,209241,3439,1424,499,537.96,1386.59,1.58,5,848.6299999999999,2.58,61.2,1.64,41.41,35.04,0.16,0.38,1.08,2025,12,December,4,Saturday
CAMP02039,2025-05-31,2025-06-15,Email,144384,2815,739,264,1998.87,4921.34,1.46,15,2922.4700000000003,2.46,59.38,1.95,26.25,35.72,0.71,2.7,7.57,2025,5,May,2,Saturday
CAMP02040,2025-05-06,2025-05-19,Influencer,90765,5474,2245,1155,3083.28,7814.42,1.53,13,4731.139999999999,2.53,60.54,6.03,41.01,51.45,0.56,1.37,2.67,2025,5,May,2,Tuesday
CAMP02041,2025-10-28,2025-11-06,Influencer,270028,17304,6498,2355,600.05,791.43,0.32,9,191.38,1.32,24.18,6.41,37.55,36.24,0.03,0.09,0.25,2025,10,October,4,Tuesday
CAMP02042,2025-11-04,2025-11-17,Social,25522,980,300,88,908.39,1744.27,0.92,13,835.88,1.92,47.92,3.84,30.61,29.33,0.93,3.03,10.32,2025,11,November,4,Tuesday
CAMP02043,2025-12-02,2025-12-16,Social,10623,390,154,85,522.75,1249.58,1.39,14,726.8299999999999,2.39,58.17,3.67,39.49,55.19,1.34,3.39,6.15,2025,12,December,4,Tuesday
CAMP02044,2025-08-22,2025-08-30,Email,278604,16113,7277,3733,105.48,191.11,0.81,8,85.63000000000001,1.81,44.81,5.78,45.16,51.3,0.01,0.01,0.03,2025,8,August,3,Friday
CAMP02045,2025-01-08,2025-01-17,Search,15234,571,238,111,4688.53,9981.76,1.13,9,5293.2300000000005,2.13,53.03,3.75,41.68,46.64,8.21,19.7,42.24,2025,1,January,1,Wednesday
CAMP02046,2025-12-07,2025-12-15,Social,199650,18784,7075,2001,4207.58,10600.29,1.52,8,6392.710000000001,2.52,60.31,9.41,37.67,28.28,0.22,0.59,2.1,2025,12,December,4,Sunday
CAMP02047,2025-05-09,2025-05-15,Social,225708,10029,3818,1076,1234.57,2478.12,1.01,6,1243.55,2.01,50.18,4.44,38.07,28.18,0.12,0.32,1.15,2025,5,May,2,Friday
CAMP02048,2025-09-21,2025-09-26,Search,165492,4928,810,321,2930.4,6506.82,1.22,5,3576.4199999999996,2.22,54.96,2.98,16.44,39.63,0.59,3.62,9.13,2025,9,September,3,Sunday
CAMP02049,2025-06-06,2025-06-18,Search,171885,3976,1909,787,4027.85,6792.01,0.69,12,2764.1600000000003,1.69,40.7,2.31,48.01,41.23,1.01,2.11,5.12,2025,6,June,2,Friday
CAMP02050,2025-12-18,2025-12-26,Influencer,120492,8055,1468,443,1896.03,3280.39,0.73,8,1384.36,1.73,42.2,6.69,18.22,30.18,0.24,1.29,4.28,2025,12,December,4,Thursday
CAMP02051,2025-12-24,2026-01-02,Social,43353,1708,409,101,3721.35,5117.95,0.38,9,1396.6,1.38,27.29,3.94,23.95,24.69,2.18,9.1,36.85,2025,12,December,4,Wednesday
CAMP02052,2025-01-05,2025-01-15,Display,39985,1079,331,114,4356.43,12998.04,1.98,10,8641.61,2.98,66.48,2.7,30.68,34.44,4.04,13.16,38.21,2025,1,January,1,Sunday
CAMP02053,2025-03-27,2025-04-08,Display,66590,2318,348,129,2543.4,5631.29,1.21,12,3087.89,2.21,54.83,3.48,15.01,37.07,1.1,7.31,19.72,2025,3,March,1,Thursday
CAMP02054,2025-06-24,2025-07-09,Email,126282,4762,1606,354,4451.41,6182.3,0.39,15,1730.8900000000003,1.39,28.0,3.77,33.73,22.04,0.93,2.77,12.57,2025,6,June,2,Tuesday
